Search by Vehicle ID,,,
Test runs,Vehicle_id,HashMap,TreeMap
1,567870,7400,13400
2,442,6600,9100
3,179480,8100,8600
4,1179,8400,9200
5,494365,7400,9000
,,,
Search by Person Id,,,
Test runs,person_id,HashMap,TreeMap
1,O595731,6200,6800
2,O678266,6200,6500
3,O258473,7300,8400
4,O131968,8100,8700
5,O558579,7200,9700
,,,
Search by RD no.,,,
Test runs,rd_no,HashMap,TreeMap
1,JC320676,6300,6700
2,JC172482,7200,9000
3,JC127576,8900,10000
4,HZ299137,8600,8300
5,JC107350,8400,13100
,,,
,,,
Count of acc on a date,,,
Test runs,Date,HashMap,TreeMap
1,12,10700,22200
2,"""08""",11100,26000
3,"""06""",12900,32000
4,"""04""",11000,30800
5,10,10700,23600
,,,
city wise  accidents,,,
Test runs,Number,HashMap,TreeMap
1,CHICAGO,4100,4200
2,BELLWOD,3500,6500
3,EVANSTON,3400,4300
4,DES PLAINES,3600,4800
5,SOUTH HOLLAND,3600,5900
