Search by Vehicle ID,,,,,
Test runs,Vehicle_id,Binary Tree  Array(in ns),Binary tree LL (in ns),AVL tree LL (in ns),SQL (in ms)
1,567870,16000000,17000000,6813,736
2,645598,11000000,13000000,27700,716
3,179480,10000000,15000000,25900,650
4,1179,9000000,11000000,26700,692
5,494365,11000000,13000000,26000,643
,,,,,
Search by Person Id,,,,,
Test runs,person_id,Binary Tree  Array(in ns),Binary tree LL (in ns),AVL tree LL (in ns),SQL (in ms)
1,O595731,13176000,33036800,5481800,718
2,O678266,11621600,20957100,4930000,623
3,O258473,11125700,16790200,4416200,676
4,O131968,10852400,17761800,4275400,735
5,O558579,10963800,16678200,3908200,795
,,,,,
Search by RD no.,,,,,
Test runs,rd_no,Binary Tree  Array(in ns),Binary tree LL (in ns),AVL tree LL (in ns),SQL (in ms)
1,JC320676,14234900,24849500,4915600,857
2,JC172482,25794400,28348800,5245813,803
3,JC127576,10996200,17311300,3876000,802
4,HZ299137,10890100,16838500,4310500,828
5,JC107350,11278200,17311290,3762900,765
,,,,,
,,,,,
Count of acc on a date,,,,,
Test runs,Date,Binary Tree  Array(in ns),Binary tree LL (in ns),AVL tree LL (in ns),SQL (in ms)
1,06/25/2019,14196700,19672700,5981400,645
2,01/21/2014,10621400,15506500,2933400,524
3,04/23/2018,10406700,16368600,3559200,509
4,08/23/2016,10413700,15293900,3195700,634
5,04/15/2015,10596400,15562200,3258300,583
,,,,,
count of accidents by city,,,,,
Test runs,city name,Binary Tree  Array(in ns),Binary tree LL (in ns),AVL tree LL (in ns),SQL (in ms)
1,CHICAGO,22616300,109458800,78868500,371
2,BELLWOD,7983800,13518000,5797400,310
3,EVANSTON,8021600,14449700,5563700,296
4,DES PLAINES,7959300,13600500,5801500,293
5,SOUTH HOLLAND,8160500,13545000,4553300,294
